tick,sirstate,n
1397.1,2,10000
1398.1,2,10000
1399.1,2,10000
1400.1,2,10000
1401.1,2,10000
1402.1,2,10000
1403.1,2,10000
1404.1,2,10000
1405.1,2,10000
1406.1,2,10000
1407.1,2,10000
1408.1,2,10000
1409.1,2,10000
1410.1,2,10000
1411.1,2,10000
1412.1,2,10000
1413.1,2,10000
1414.1,2,10000
1415.1,2,10000
1416.1,2,10000
1417.1,2,10000
1418.1,2,10000
1419.1,2,10000
1420.1,2,10000
1421.1,2,10000
1422.1,2,10000
1423.1,2,10000
1424.1,2,10000
1425.1,2,10000
1426.1,2,10000
1427.1,2,10000
1428.1,2,10000
1429.1,2,10000
1430.1,2,10000
1431.1,2,10000
1432.1,2,10000
1433.1,2,10000
1434.1,2,10000
1435.1,2,10000
1436.1,2,10000
1437.1,2,10000
1438.1,2,10000
1439.1,2,10000
1440.1,2,10000
1441.1,2,10000
1442.1,2,10000
1443.1,2,10000
1444.1,2,10000
1445.1,2,10000
1446.1,2,10000
1447.1,2,10000
1448.1,2,10000
1449.1,2,10000
1450.1,2,10000
1451.1,2,10000
1452.1,2,10000
1453.1,2,10000
1454.1,2,10000
1455.1,2,10000
1456.1,2,10000
1457.1,2,10000
1458.1,2,10000
1459.1,2,10000
1460.1,2,10000
1461.1,2,10000
1462.1,2,10000
1463.1,2,10000
1464.1,2,10000
1465.1,2,10000
1466.1,2,10000
1467.1,2,10000
1468.1,2,10000
1469.1,2,10000
1470.1,2,10000
1471.1,2,10000
1472.1,2,10000
1473.1,2,10000
1474.1,2,10000
1475.1,2,10000
1476.1,2,10000
1477.1,2,10000
1478.1,2,10000
